Word	Pronunciation	Definition
到底	dao4 di3	finally; in the end; when all is said and done; after all; to the end; to the last
道歉	dao4 qian4	to apologize; to make an apology
得意	de2 yi4	proud of oneself; pleased with oneself; complacent
地	de5	-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
的	de5	of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive
得	de5	structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc
得	dei3	to have to; must; ought to; to need to
灯	deng1	lamp; light; lantern; CL:盞|盏[zhan3]
等	deng3	wait for; await
等	deng3	et cetera; and so on; et al. (and other authors); after; as soon as; once
低	di1	low; beneath; to lower (one's head); to let droop; to hang down; to incline
底	di3	background; bottom; base; the end of a period of time; towards the end of (last month)
弟弟	di4 di5	younger brother; CL:個|个[ge4],位[wei4]
地方	di4 fang1	region; regional (away from the central administration)
地球	di4 qiu2	the Earth; planet; CL:個|个[ge4]
地铁	di4 tie3	subway; metro
地图	di4 tu2	map; CL:張|张[zhang1],本[ben3]
地址	di4 zhi3	address; CL:個|个[ge4]
第一	di4 yi1	first; number one
点	dian3	drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities
电脑	dian4 nao3	computer; CL:臺|台[tai2]
电视	dian4 shi4	television; TV; CL:臺|台[tai2],個|个[ge4]
电梯	dian4 ti1	elevator; CL:臺|台[tai2],部[bu4]
电影	dian4 ying3	movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]
电子邮件	dian4 zi3 you2 jian4	electronic mail; email; CL:封[feng1]
掉	diao4	to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)
调查	diao4 cha2	investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:項|项[xiang4],個|个[ge4]
丢	diu1	to lose; to put aside; to throw
冬	dong1	winter
东	dong1	east; host (i.e. sitting on east side of guest); landlord; surname Dong
东西	dong1 xi5	thing; stuff; person; CL:個|个[ge4],件[jian4]
懂	dong3	to understand; to know
动物	dong4 wu4	animal; CL:隻|只[zhi1],群[qun2],個|个[ge4]
动作	dong4 zuo4	movement; motion; action; CL:個|个[ge4]
都	dou1	all, both; entirely (due to) each; even; already
读	du2	to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]
堵车	du3 che1	traffic jam; choking
肚子	du4 zi5	belly; abdomen; stomach; CL:個|个[ge4]
短	duan3	short or brief; to lack; weak point; fault
段	duan4	paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc
断	duan4	to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely, definitely,decidedly
锻炼	duan4 lian4	to engage in physical exercise; to toughen; to temper
对	dui4	couple; pair; to be opposite; to oppose; to face; versus; for; to; correct (answer); to answer; to reply; to direct (towards sth); right
对	dui4	(介词)to; for
对不起	dui4 bu5 qi3	unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat)
对话	dui4 hua4	dialog; CL:個|个[ge4]
对面	dui4 mian4	opposite
顿	dun4	stop; pause; to arrange; to lay out; to kowtow; to stamp; at once; classifier for meals, beating, tellings off etc: time, bout, spell, meal
多	duo1	many; much; a lot of; numerous; multi-
多么	duo1 me5	how (wonderful etc); what (a great idea etc); however (difficult it may be etc)
多少	duo1 shao3	number; amount; somewhat
朵	duo3	flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc
饿	e4	to be hungry; hungry
而	er2	and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast)
而且	er2 qie3	(not only ...) but also; moreover; in addition; furthermore
儿童	er2 tong2	child; CL:個|个[ge4]
儿子	er2 zi5	son
耳朵	er3 duo5	ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]
二	er4	two; 2; stupid (Beijing dialect)
发	fa1	to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds)
发烧	fa1 shao1	have a high temperature (from illness); have a fever
发生	fa1 sheng1	to happen; to occur; to take place; to break out
发现	fa1 xian4	to find; to discover
发展	fa1 zhan3	development; growth; to develop; to grow; to expand
法律	fa3 lv4	law; CL:條|条[tiao2], 套[tao4], 個|个[ge4]
翻译	fan1 yi4	to translate; to interpret; translator; interpreter; translation; interpretation; CL:個|个[ge4],位[wei4],名[ming2]
烦恼	fan2 nao3	agonize; agony; annoyance; upset; vexation; worries
反对	fan3 dui4	to fight against; to oppose; to be opposed to; opposition
反应	fan3 ying4	to mirror; to reflect; mirror image; reflection; fig. to report; to make known; to render; used erroneously for 反應|反应, response or reaction
饭馆	fan4 guan3	restaurant; CL:家[jia1]
范围	fan4 wei2	range; scope; limit; extent; CL:個|个[ge4]
方便	fang1 bian4	convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet
方法	fang1 fa3	method; way; means; CL:個|个[ge4]
方面	fang1 mian4	respect; aspect; field; side; CL:個|个[ge4]
方向	fang1 xiang4	direction; orientation; path to follow; CL:個|个[ge4]
房间	fang2 jian1	room; CL:間|间[jian1]
访问	fang3 wen4	to visit; to call on; to interview; CL:次[ci4]
放	fang4	to release; to free; to let go; to put; to place; to let out; to set off (fireworks)
放弃	fang4 qi4	to renounce; to abandon; to give up
放暑假	fang4 shu3 jia4	take summer vacation
放心	fang4 xin1	to set one's mind at rest; to be at ease; to rest
非常	fei1 chang2	unusual; extraordinary; extreme; very; exceptional
飞机	fei1 ji1	airplane; CL: 架[jia4]
分	fen1	to divide; to separate; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money)
…分之…	fen1 zhi1	used for fractions and percentages, e.g. 四分之一 is 1/4 and 百分之一 is 1%
分钟	fen1 zhong1	minute
份	fen4	part; share; portion; copy; classifier for gifts, newspaper, magazine, papers, reports, contracts etc
丰富	feng1 fu4	rich; plentiful; abundant
风景	feng1 jing3	scenery; landscape; CL:個|个[ge4]
否则	fou3 ze2	if not; otherwise; else; or else
符合	fu2 he2	in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle
服务员	fu2 wu4 yuan2	waiter; waitress; attendant; customer service personnel; CL:個|个[ge4]
富	fu4	rich; surname Fu
附近	fu4 jin4	(in the) vicinity; nearby; neighboring; next to
父亲	fu4 qin1	father; also pr. with light tone [fu4 qin5]; CL:個|个[ge4]
复习	fu4 xi2	to revise; to review; revision; CL:次[ci4]
复印	fu4 yin4	to photocopy; to duplicate a document
复杂	fu4 za2	complicated; complex
负责	fu4 ze2	to be in charge of; to take responsibility for; to be to blame; conscientious
改变	gai3 bian4	to change; to alter; to transform
干杯	gan1 bei1	to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup
干净	gan1 jing4	clean; neat
干燥	gan1 zao4	to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid
敢	gan3	to dare; daring; (polite) may I venture
感动	gan3 dong4	to move (sb); to touch (sb emotionally); moving
感觉	gan3 jue2	to feel; to become aware of; feeling; sense; perception; CL:個|个[ge4]
感冒	gan3 mao4	to catch cold; (common) cold; CL:場|场[chang2],次[ci4]
感情	gan3 qing2	feeling; emotion; sensation; likes and dislikes; deep affection for sb or sth; relationship (i.e. love affair); CL:個|个[ge4],種|种[zhong3]
感谢	gan3 xie4	(express) thanks; gratitude; grateful; thankful; thanks
干	gan1	to work; to do; to manage
刚才	gang1 cai2	just now; a moment ago
刚刚	gang1 gang5	just recently; just a moment ago
高	gao1	high; tall; above average; loud; your (honorific); surname Gao
高级	gao1 ji2	high level; high grade; advanced; high-ranking
高兴	gao1 xing4	happy; glad; willing (to do sth); in a cheerful mood
告诉	gao4 su5	to tell; to inform; to let know
哥哥	ge1 ge5	older brother; CL:個|个[ge4],位[wei4]
各	ge4	each; every
个	ge4	individual; this; that; size; classifier for people or objects in general
个子	ge4 zi5	height; stature; build; size
给	gei3	to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle)
跟	gen1	heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to)
根据	gen1 ju4	according to; based on; basis; foundation; CL:個|个[ge4]
更	geng1	to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (eg of a sentry or guard)
公共汽车	gong1 gong4 qi4 che1	bus; CL:輛|辆[liang4],班[ban1]
公斤	gong1 jin1	kilogram (kg)
公里	gong1 li3	kilometer
公司	gong1 si1	(business) company; company; firm; corporation; incorporated; CL:家[jia1]
公园	gong1 yuan2	public park; CL:場|场[chang3]
工具	gong1 ju4	tool; instrument; utensil; means (to achieve a goal etc)
工资	gong1 zi1	wages; pay; CL:個|个[ge4],份[fen4],月[yue4]
工作	gong1 zuo4	job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]
共同	gong4 tong2	common; joint; jointly; together; collaborative
狗	gou3	dog; CL:隻|只[zhi1],條|条[tiao2]
够	gou4	to reach; to be enough
购物	gou4 wu4	shopping
孤单	gu1 dan1	lone; lonely; loneliness
估计	gu1 ji4	to estimate; to reckon; CL:個|个[ge4]
鼓励	gu3 li4	to encourage
鼓掌	gu3 zhang3	to applaud; to clap
顾客	gu4 ke4	client; customer; CL:位[wei4]
故事	gu4 shi4	old practice; CL:個|个[ge4]
故意	gu4 yi4	deliberately; on purpose
刮风	gua1 feng1	to be windy
挂	gua4	to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects
关	guan1	mountain pass; to close; to shut; to turn off; to concern; to involve
关键	guan1 jian4	crucial point; crux; CL:個|个[ge4]; key; crucial; pivotal
关系	guan1 xi4	relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個|个[ge4]
关心	guan1 xin1	to care for sth; caring; concerned
关于	guan1 yu2	pertaining to; concerning; regarding; with regards to; about; a matter of
观众	guan1 zhong4	spectators; audience; visitors (to an exhibition etc)
管理	guan3 li3	to supervise; to manage; to administer; management; administration; CL:個|个[ge4]
光	guang1	light; ray; CL:道[dao4]; bright; only; merely; to use up
广播	guang3 bo1	broadcast; widely spread; CL:個|个[ge4]
广告	guang3 gao4	to advertise; a commercial; advertisement; CL:項|项[xiang4]
逛	guang4	to stroll; to visit
规定	gui1 ding4	provision; to fix; to set; to formulate; to stipulate; to provide; regulation; rule; CL:個|个[ge4]
贵	gui4	expensive; noble; your (name); precious
国际	guo2 ji4	international
国家	guo2 jia1	country; nation; state; CL:個|个[ge4]
果然	guo3 ran2	really; sure enough; as expected
果汁	guo3 zhi1	fruit juice
过	guo4	to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo
过	guo4	助词 (indicates a past action or state, 动词+过)
过程	guo4 cheng2	course of events; process; CL:個|个[ge4]
过去	guo4 qu5	(in the) past; former; previous; to go over; to pass by
还	hai2	still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else
还是	hai2 shi4	or; still; nevertheless
孩子	hai2 zi5	child
海洋	hai3 yang2	ocean; CL:個|个[ge4]
害怕	hai4 pa4	to be afraid; to be scared
害羞	hai4 xiu1	blush; shy
寒假	han2 jia4	winter vacation
汗	han4	perspiration; sweat; CL:滴[di1],頭|头[tou2],身[shen1]; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)
汉语	Han4 yu3	Chinese language; CL:門|门[men2]
航班	hang2 ban1	scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship
好	hao3	good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness)
好吃	hao3 chi1	tasty; delicious
好处	hao3 chu5	benefit; advantage; gain; profit; also pronounced hao3 chu4; CL:個|个[ge4]
好像	hao3 xiang4	as if; to seem like
号	hao4	day of a month; (suffix used after) name of a ship; (ordinal) number
号码	hao4 ma3	number; CL:堆[dui1],個|个[ge4]
喝	he1	to drink; to shout (a command); My goodness!
和	he2	and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4
河	he2	river; CL:條|条[tiao2],道[dao4]
合格	he2 ge2	qualified; meeting a standard; eligible (voter)
合适	he2 shi4	suitable; fitting; decent; to fit
盒子	he2 zi5	case
黑	hei1	black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China
黑板	hei1 ban3	blackboard; CL:塊|块[kuai4],個|个[ge4]
很	hen3	(adverb of degree); quite; very; awfully
红	hong2	bonus; popular; red; revolutionary
猴子	hou2 zi5	monkey; CL:隻|只[zhi1]
厚	hou4	thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress
后悔	hou4 hui3	to regret; to repent
后来	hou4 lai2	afterwards; later
后面	hou4 mian5	rear; back; behind; later; afterwards
忽然	hu1 ran2	suddenly; all of a sudden
护士	hu4 shi5	nurse; CL:個|个[ge4]
护照	hu4 zhao4	passport; CL:本[ben3],個|个[ge4]
互相	hu4 xiang1	each other; mutually; mutual
花	hua1	flower; blossom; fancy pattern; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; to spend (money, time); surname Hua
花园	hua1 yuan2	garden; CL:座[zuo4],個|个[ge4]
画	hua4	to draw; picture; painting; CL:幅[fu2],張|张[zhang1]
怀疑	huai2 yi2	to doubt; to suspect; doubt; suspicion; skeptical
坏	huai4	bad; spoiled; broken; to break down
欢迎	huan1 ying2	to welcome; welcome
还	huan2	to pay back; to return; surname Huan
环境	huan2 jing4	environment; circumstances; surroundings; CL:個|个[ge4]; ambient
换	huan4	change; exchange
黄	huang2	yellow; pornographic; to fall through
回	hui2	to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book)
回答	hui2 da2	to reply; to answer; the answer; CL:個|个[ge4]
回忆	hui2 yi4	to recall; recollection; CL:個|个[ge4]
会	hui4	can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3)
会议	hui4 yi4	meeting; conference; CL:場|场[chang3],屆|届[jie4]
活动	huo2 dong4	to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:項|项[xiang4],個|个[ge4]
活泼	huo2 po5	lively; vivacious; brisk; active
火	huo3	fire; CL:把[ba3]
火车站	huo3 che1 zhan4	train station
获得	huo4 de2	to obtain; to receive; to get
或者	huo4 zhe3	or; possibly; maybe; perhaps
机场	ji1 chang3	airport; airfield; CL:家[jia1],處|处[chu4]
机会	ji1 hui4	opportunity; chance; occasion; CL:個|个[ge4]
基础	ji1 chu3	base; foundation; basis; underlying; CL:個|个[ge4]
鸡蛋	ji1 dan4	(chicken) egg; hen's egg; CL:個|个[ge4],打[da2]
激动	ji1 dong4	to excite; to agitate; exciting
几乎	ji1 hu1	almost; nearly; practically
积极	ji1 ji2	active; energetic; vigorous; positive (outlook); proactive
积累	ji1 lei3	to accumulate; accumulation; cumulative; cumulatively
极	ji2	extremely; pole (geography, physics); utmost; top
极其	ji2 qi2	extremely
集合	ji2 he2	a congregation; to gather; a set
及时	ji2 shi2	in time; promptly; without delay; timely
即使	ji2 shi3	even if; even though; given that
几	ji3	how much; how many; several; a few
寄	ji4	to live (in a house); to lodge; to mail; to send; to entrust; to depend
记得	ji4 de5	to remember
记者	ji4 zhe3	reporter; journalist; CL:個|个[ge4]
计划	ji4 hua4	plan; project; program; to plan; to map out; CL:個|个[ge4],項|项[xiang4]
季节	ji4 jie2	time; season; period; CL:個|个[ge4]
既然	ji4 ran2	since; as; this being the case
技术	ji4 shu4	technology; technique; skill; CL:門|门[men2],種|种[zhong3],項|项[xiang4]
继续	ji4 xu4	to continue; to proceed with; to go on with
家	jia1	home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:個|个[ge4]
家具	jia1 ju4	furniture; CL:件[jian4],套[tao4]
加班	jia1 ban1	to work overtime
加油站	jia1 you2 zhan4	gas station
假	jia3	fake; false; artificial; to borrow; if; suppose
价格	jia4 ge2	price; CL:個|个[ge4]
坚持	jian1 chi2	to continue upholding; to remain committed to; persistence; to persist; to uphold; to insist on; persevere
检查	jian3 cha2	inspection; to examine; to inspect; CL:次[ci4]
