Word	Pronunciation	Definition
听	ting1	"to listen; to hear; to obey; a can (loanword from English ""tin""); classifier for canned beverages"
停止	ting2 zhi3	to stop; to halt; to cease
挺	ting3	to stick out; to (physically) straighten up; to endure or hold out; straight; stiff; outstanding; extraordinary; rather; quite; very; classifier for machine guns
通过	tong1 guo4	by means of; through; via; to pass through; to get through; to adopt; to pass (a bill); to switch over
通知	tong1 zhi1	to notify; to inform; notice; notification; CL:個|个[ge4]
同情	tong2 qing2	compassion; relent; sympathize; sympathy
同事	tong2 shi4	colleague; co-worker; CL:個|个[ge4],位[wei4]
同学	tong2 xue2	(fellow) classmate; CL:位[wei4],個|个[ge4]
同意	tong2 yi4	to agree; to consent; to approve
头发	tou2 fa5	hair (on the head)
突然	tu1 ran2	sudden; abrupt; unexpected
图书馆	tu2 shu1 guan3	library; CL:家[jia1],個|个[ge4]
推	tui1	to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect
推迟	tui1 chi2	to postpone; to put off; to defer
腿	tui3	leg; CL:條|条[tiao2]
脱	tuo1	to shed; to take off; to escape; to get away from
袜子	wa4 zi5	socks; stockings; CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]
外	wai4	outside; in addition; foreign; external
玩	wan2	toy; sth used for amusement; curio or antique (Taiwan pr. wan4); to play; to have fun; to trifle with; to keep sth for entertainment
完	wan2	to finish; to be over; whole; complete; entire
完成	wan2 cheng2	complete; accomplish; perfect tense (grammar)
完全	wan2 quan2	complete; whole; totally; entirely
碗	wan3	bowl; cup; CL:隻|只[zhi1],個|个[ge4]
晚上	wan3 shang5	in the evening; CL:個|个[ge4]
万	wan4	ten thousand; a great number
往	wang3	to go (in a direction); to; towards; (of a train) bound for; past; previous
往往	wang3 wang3	often; frequently
网球	wang3 qiu2	tennis; CL:個|个[ge4]
网站	wang3 zhan4	website; network station; node
忘记	wang4 ji4	to forget
危险	wei1 xian3	danger; dangerous
喂	wei4	hello (interj., esp. on telephone); hey; to feed (sb or some animal)
位	wei4	position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)
为	wei4	because of; for; to
为了	wei4 le5	in order to; for the purpose of; so as to
为什么	wei4 shen2 me5	why?; for what reason?
味道	wei4 dao4	flavor; smell; hint of
温度	wen1 du4	temperature; CL:個|个[ge4]
文化	wen2 hua4	culture; civilization; cultural; CL:個|个[ge4],種|种[zhong3]
文章	wen2 zhang1	article; essay; literary works; writings; hidden meaning; CL:篇[pian1],段[duan4],頁|页[ye4]
问	wen4	to ask
问题	wen4 ti2	question; problem; issue; topic; CL:個|个[ge4]
我	wo3	I; me; my
我们	wo3 men5	we; us; ourselves; our
握手	wo4 shou3	to shake hands
污染	wu1 ran3	pollution; contamination; CL:個|个[ge4]
无	wu2	-less; not to have; no; none; not; to lack; un-
无聊	wu2 liao2	nonsense; bored
无论	wu2 lun4	no matter what or how; regardless of whether...
五	wu3	five; 5
误会	wu4 hui4	to misunderstand; to mistake; misunderstanding; CL:個|个[ge4]
西	xi1	west
西瓜	xi1 gua1	watermelon; CL:條|条[tiao2]
西红柿	xi1 hong2 shi4	tomato; CL:隻|只[zhi1]
希望	xi1 wang4	to wish for; to desire; hope CL:個|个[ge4]
吸引	xi1 yin3	to attract (interest, investment etc); CL:個|个[ge4]
习惯	xi2 guan4	habit; custom; usual practice; to be used to; CL:個|个[ge4]
洗	xi3	to wash; to bathe
洗手间	xi3 shou3 jian1	toilet; lavatory; washroom
洗衣机	xi3 yi1 ji1	washer; washing machine; CL:臺|台[tai2]
洗澡	xi3 zao3	to bathe; to take a shower
喜欢	xi3 huan5	to like; to be fond of
夏	xia4	summer
下	xia4	down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down
下午	xia4 wu3	afternoon; p.m.; CL:個|个[ge4]
下雨	xia4 yu3	to rain; rainy
先	xian1	early; prior; former; in advance; first
先生	xian1 sheng5	teacher; Mister (Mr.); husband; doctor (topolect); CL:個|个[ge4],位[wei4]
咸	xian2	salted; salty; stingy; miserly
现代	xian4 dai4	modern times; modern age; modern era
现在	xian4 zai4	now; at present; at the moment; modern; current; nowadays
羡慕	xian4 mu4	envious; envy; to admire
限制	xian4 zhi4	to restrict; to limit; to confine; restriction; limit; CL:個|个[ge4]
香	xiang1	fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]
香蕉	xiang1 jiao1	banana; CL:枝[zhi1],根[gen1],個|个[ge4],把[ba3]
相反	xiang1 fan3	opposite; contrary
相同	xiang1 tong2	identical; same
相信	xiang1 xin4	be convinced (that something is true); believe; to accept sth as true
详细	xiang2 xi4	detailed; in detail; minute
响	xiang3	to make a sound; to sound; to ring; loud; classifier for noises
想	xiang3	to think; to believe; to suppose; to wish; to want; to miss
向	xiang4	direction; orientation; to face; to turn toward; to; towards; shortly before; formerly; to side with; to be partial to; all along (previously); surname Xiang
像	xiang4	(look) like; similar (to); appearance; to appear; to seem; image; portrait; resemble; seem
消息	xiao1 xi5	news; information; CL:條|条[tiao2]
小	xiao3	small; tiny; few; young
小姐	xiao3 jie5	young lady; miss; CL:個|个[ge4],位[wei4]
小时	xiao3 shi2	hour; CL:個|个[ge4]
小说	xiao3 shuo1	novel; fiction; CL:本[ben3],部[bu4]
小心	xiao3 xin1	to be careful; to take care
笑	xiao4	laugh; smile; CL:個|个[ge4]
笑话	xiao4 hua4	joke; jest; CL:個|个[ge4]
效果	xiao4 guo3	result; effect; quality; CL:個|个[ge4]
校长	xiao4 zhang3	(college, university) president; headmaster; CL:個|个[ge4],位[wei4],名[ming2]
些	xie1	some; few; several; (a measure word)
鞋	xie2	shoe; CL:雙|双[shuang1],隻|只[zhi1]
写	xie3	to write
谢谢	xie4 xie5	to thank; thanks
新	xin1	new; newly; meso- (chemistry)
新闻	xin1 wen2	news; CL:條|条[tiao2],個|个[ge4]
新鲜	xin1 xian1	fresh (experience, food etc); freshness
辛苦	xin1 ku3	hard; exhausting; with much toil; thanks for your trouble
心情	xin1 qing2	mood; frame of mind; CL:個|个[ge4]
信	xin4	letter; mail; to trust; to believe; to profess faith in; truthful; confidence; trust; at will; at random
信任	xin4 ren4	to trust; to have confidence in
信心	xin4 xin1	confidence; faith (in sb or sth); CL:個|个[ge4]
信用卡	xin4 yong4 ka3	credit card
兴奋	xing1 fen4	excited; excitement
星期	xing1 qi1	week; CL:個|个[ge4]
行	xing2	to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do
行李箱	xing2 li5 xiang1	suitcase
醒	xing3	to wake up; to awaken; to be awake
姓	xing4	family name; surname; name; CL:個|个[ge4]
性别	xing4 bie2	gender; sex; distinguishing between the sexes
性格	xing4 ge2	nature; disposition; temperament; character; CL:個|个[ge4]
幸福	xing4 fu2	blessed; happiness; happy
兴趣	xing4 qu5	interest in (something); CL:個|个[ge4]
熊猫	xiong2 mao1	panda; CL:隻|只[zhi1]
修	xiu1	to decorate; to embellish; to repair; to build; to study; to write; to cultivate
休息	xiu1 xi5	rest; to rest
需要	xu1 yao4	to need; to want; to demand; needs; to require
许多	xu3 duo1	many; a lot of; much
选择	xuan3 ze2	to select; to pick; choice; option; alternative
学生	xue2 sheng5	student; school child
学习	xue2 xi2	to learn; to study
学校	xue2 xiao4	school; CL:所[suo3]
雪	xue3	snow; snowfall; CL:場|场[chang2]; to have the appearance of snow; to wipe away, off or out; to clean
血	xue4	blood; informal colloquial and Taiwan pr. xie3; also pr. xue3; CL:滴[di1],片[pian4]
压力	ya1 li4	pressure
牙膏	ya2 gao1	toothpaste; CL:管[guan3]
亚洲	Ya4 zhou1	Asia; Asian
呀	ya5	(particle equivalent to 啊 after a vowel, expressing surprise or doubt)
盐	yan2	salt; CL:粒[li4]
严格	yan2 ge2	strict; stringent; tight; rigorous
严重	yan2 zhong4	grave; serious; severe; critical
研究生	yan2 jiu1 sheng1	graduate student; postgraduate student; research student
颜色	yan2 se4	color; CL:個|个[ge4]
演出	yan3 chu1	to act (in a play); to perform; to put on (a performance); performance; concert; show; CL:場|场[chang2],次[ci4]
演员	yan3 yuan2	actor or actress; performer; CL:個|个[ge4],位[wei4],名[ming2]
眼镜	yan3 jing4	spectacles; eyeglasses; CL:副[fu4]
眼睛	yan3 jing5	eye; CL:隻|只[zhi1],雙|双[shuang1]
阳光	yang2 guang1	sunshine; CL:線|线[xian4]
羊肉	yang2 rou4	mutton
养成	yang3 cheng2	to cultivate; to raise; to form (a habit); to acquire
样子	yang4 zi5	manner; air; looks; aspect
邀请	yao1 qing3	to invite; invitation; CL:個|个[ge4]
要求	yao1 qiu2	to request; to require; to stake a claim; to ask; to demand; CL:點|点[dian3]
要	yao4	important; vital; to want; will; going to (as future auxiliary); may; must
药	yao4	medicine; drug; cure; CL:種|种[zhong3],服[fu4]
钥匙	yao4 shi5	key; CL:把[ba3]
爷爷	ye2 ye5	(informal) father's father; paternal grandfather; CL:個|个[ge4]
也	ye3	also; too; (in classical Chinese) final particle serving as copula
也许	ye3 xu3	perhaps; maybe
页	ye4	page; leaf
叶子	ye4 zi5	foliage; leaf; CL:片[pian4]
一	yi1	"one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1)"
衣服	yi1 fu5	clothes; CL:件[jian4],套[tao4]
医生	yi1 sheng1	doctor; CL:個|个[ge4],位[wei4],名[ming2]
医院	yi1 yuan4	hospital; CL:所[suo3],家[jia1],座[zuo4]
一定	yi2 ding4	surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must
一共	yi2 gong4	altogether
一会儿	yi2 hui4 r5	a while
一切	yi2 qie4	everything; every; all
一样	yi2 yang4	same; like; equal to; the same as; just like
以	yi3	to use; according to; so as to; by means of; in order to; by; with; because
以后	yi3 hou4	after; later; afterwards; following; later on; in the future
以前	yi3 qian2	before; formerly; previous; ago
以为	yi3 wei2	to believe; to think; to consider; to be under the impression
已经	yi3 jing1	already
椅子	yi3 zi5	chair; CL:把[ba3],套[tao4]
亿	yi4	a hundred million; calculate
一般	yi4 ban1	same; ordinary; common; general; generally; in general
一边	yi4 bian1	one side; either side; on the one hand; on the other hand; doing while
一起	yi4 qi3	in the same place; together; with; altogether (in total)
一直	yi4 zhi2	straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along
意见	yi4 jian4	idea; opinion; suggestion; objection; complaint; CL:點|点[dian3],條|条[tiao2]
意思	yi4 si5	idea; opinion; meaning; wish; desire; CL:個|个[ge4]
艺术	yi4 shu4	art; CL:種|种[zhong3]
阴	yin1	overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia
因此	yin1 ci3	thus; consequently; as a result
因为	yin1 wei4	because; owing to; on account of
音乐	yin1 yue4	music; CL:張|张[zhang1],曲[qu3],段[duan4]
银行	yin2 hang2	bank; CL:家[jia1],個|个[ge4]
饮料	yin3 liao4	drink; beverage
引起	yin3 qi3	to give rise to; to lead to; to cause; to arouse
印象	yin4 xiang4	impression; reflection; perception; CL:個|个[ge4]
应该	ying1 gai1	ought to; should; must
赢	ying2	to beat; to win; to profit
影响	ying3 xiang3	an influence; an effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3]
硬	ying4	hard; stiff; strong; firm; to manage to do sth with difficulty; good (quality); able (person)
勇敢	yong3 gan3	brave; courageous
永远	yong3 yuan3	forever; eternal
用	yong4	to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore
优点	you1 dian3	merit; benefit; strong point; advantage; CL:個|个[ge4]
优秀	you1 xiu4	outstanding; excellent
幽默	you1 mo4	humor; humorous
由	you2	to follow; from; it is for...to; reason; cause; because of; due to; to; to leave it (to sb); by (introduces passive verb)
由于	you2 yu2	due to; as a result of; thanks to; owing to; since; because
尤其	you2 qi2	especially; particularly
游戏	you2 xi4	game; play; CL:場|场[chang3]
游泳	you2 yong3	swim
有	you3	to have; there is; there are; to exist; to be
有名	you3 ming2	famous; well-known
有趣	you3 qu4	interesting; fascinating; amusing
友好	you3 hao3	friendly (relations)
友谊	you3 yi4	companionship; fellowship; friendship
又	you4	(once) again; also; both... and...; again
右边	you4 bian5	right side; right, to the right
鱼	yu2	fish; CL:條|条[tiao2],尾[wei3]
愉快	yu2 kuai4	cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted
于是	yu2 shi4	thereupon; as a result; consequently; thus; hence
与	yu2	(same as 歟|欤, final particle expression doubt or surprise, similar to 吗 or 呢)
语法	yu3 fa3	grammar
语言	yu3 yan2	language; CL:門|门[men2],種|种[zhong3]
羽毛球	yu3 mao2 qiu2	shuttlecock; badminton; CL:個|个[ge4]
遇到	yu4 dao4	to meet; to run into; to come across
预习	yu4 xi2	to prepare a lesson
元	yuan2	Chinese monetary unit; dollar; primary; first; the Yuan or Mongol dynasty (1279-1368); surname Yuan
圆	yuan2	circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify
原来	yuan2 lai2	original; former; originally; formerly; at first; so... actually
原谅	yuan2 liang4	to excuse; to forgive; to pardon
原因	yuan2 yin1	cause; origin; root cause; reason; CL:個|个[ge4]
远	yuan3	far; distant; remote
愿意	yuan4 yi4	to wish; to want; ready; willing (to do sth)
约会	yue1 hui4	appointment; engagement; date; CL:次[ci4],個|个[ge4]
越	yue4	to exceed; to climb over; to surpass; the more... the more
月	yue4	moon; month; CL:個|个[ge4],輪|轮[lun2]
月亮	yue4 liang5	moon
阅读	yue4 du2	to read; reading
云	yun2	(classical) to say
允许	yun3 xu3	to permit; to allow
运动	yun4 dong4	movement; campaign; CL: 場|场[chang3]; sports
杂志	za2 zhi4	magazine; CL:本[ben3],份[fen4],期[qi1]
在	zai4	(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)
再	zai4	again; once more; re-; second; another; then (after sth, and not until then)
再见	zai4 jian4	goodbye; see you again later
咱们	zan2 men5 	we or us (including both the speaker and the person(s) spoken to); I or me; you
暂时	zan4 shi2	temporary; provisional; for the time being
脏	zang4	viscera; (anatomy) organ
早上	zao3 shang5	early morning; CL:個|个[ge4]; Good morning!
责任	ze2 ren4	responsibility; blame; duty; CL:個|个[ge4]
怎么	zen3 me5	how?; what?; why?
怎么样	zen3 me5 yang4	how?; how about?; how was it?; how are things?
增加	zeng1 jia1	to raise; to increase
增长	zeng1 zhang3	to grow; to increase
窄	zhai3	narrow; narrow-minded; badly off
站	zhan4	station; to stand; to halt; to stop; branch of a company or organisation
张	zhang1	to open up; to spread; sheet of paper; classifier for flat objects, sheet; classifier for votes
长	zhang3	chief; head; elder; to grow; to develop
丈夫	zhang4 fu5	husband; CL:個|个[ge4]
招聘	zhao1 pin4	recruitment; to invite applications for a job
着急	zhao2 ji2	to worry; to feel anxious
找	zhao3	to try to find; to look for; to call on sb; to find; to seek; to return; to give change
照顾	zhao4 gu5	to take care of; to show consideration; to attend to; to look after
照片	zhao4 pian4	photo; photograph; picture; CL:張|张[zhang1],套[tao4],幅[fu2]
照相机	zhao4 xiang4 ji1	camera; CL:個|个[ge4],架[jia4],部[bu4],台[tai2],隻|只[zhi1]
这	zhe4	this; these; (commonly pr. zhei4 before a classifier, esp. in Beijing)
这儿	zhe4 r5	here
着	zhe5	particle attached after verb to indicate action in progress, like -ing ending
真	zhen1	really; truly; indeed; real; true; genuine
真正	zhen1 zheng4	genuine; real; true; genuinely
整理	zheng3 li3	to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)
整齐	zheng3 qi2	orderly; neat; even; tidy
正常	zheng4 chang2	regular; normal; ordinary
正好	zheng4 hao3	just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that
正确	zheng4 que4	correct; proper
正式	zheng4 shi4	formal; official
正在	zheng4 zai4	in the process of (doing something or happening); while (doing)
证明	zheng4 ming2	proof; certificate; identification; testimonial; CL:個|个[ge4]; to prove; to testify; to confirm the truth of
之	zhi1	(possessive particle, literary equivalent of 的); him; her; it
只	zhi1	classifier for birds and certain animals, one of a pair, some utensils, vessels etc
支持	zhi1 chi2	to be in favor of; to support; to back; support; backing; to stand by; CL:個|个[ge4]
知道	zhi1 dao5	to know; to be aware of
知识	zhi1 shi5	intellectual; knowledge-related; knowledge; CL:門|门[men2]
值得	zhi2 de5	to be worth; to deserve
直接	zhi2 jie1	direct; opposite: indirect 間接|间接; immediate; directly; straightforward
植物	zhi2 wu4	botanical; plant; vegetation; CL:種|种[zhong3]
职业	zhi2 ye4	occupation; profession; vocation; professional
指	zhi3	finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end
只	zhi3	only; merely; just; but
只好	zhi3 hao3	without any better option; to have to; to be forced to
只要	zhi3 yao4	if only; so long as
质量	zhi4 liang4	quality; mass (in physics); CL:個|个[ge4]
至少	zhi4 shao3	at least; (to say the) least
制造	zhi4 zao4	to manufacture; to make
中国	Zhong1 guo2	China; Middle Kingdom
中间	zhong1 jian1	between; intermediate; mid; middle
中文	Zhong1 wen2	Chinese; Chinese written language; Chinese writing
中午	zhong1 wu3	noon; midday; CL:個|个[ge4]
终于	zhong1 yu2	at last; in the end; finally; eventually
种	zhong3	abbr. for 物種|物种, genus; race; seed; breed; species; strain; kind; type; has guts (i.e. courage); nerve; classifier for types: kind, sort; classifier for languages
重点	zhong4 dian3	emphasis; focal point; priority; key; with the emphasis on; focusing on
重视	zhong4 shi4	to attach importance to sth; to value
重要	zhong4 yao4	important; significant; major
周末	zhou1 mo4	weekend
周围	zhou1 wei2	surroundings; environment; to encompass
猪	zhu1	hog; pig; swine; CL:口[kou3],頭|头[tou2]
逐渐	zhu2 jian4	gradually
主动	zhu3 dong4	to take the initiative; to do sth of one's own accord; active; opposite: passive 被動|被动[bei4 dong4]; drive (of gears and shafts etc)
主要	zhu3 yao4	main; principal; major; primary
主意	zhu3 yi5	plan; idea; decision; CL:個|个[ge4]
住	zhu4	to live; to dwell; to stay; to reside; to stop
祝	zhu4	invoke; pray to; wish; to express good wishes; surname Zhu
祝贺	zhu4 he4	to congratulate; congratulations; CL:個|个[ge4]
著名	zhu4 ming2	famous; noted; well-known; celebrated
注意	zhu4 yi4	to take note of; to pay attention to
专门	zhuan1 men2	specialist; specialized; customized
专业	zhuan1 ye4	specialty; specialized field; main field of study (at university); major; CL:門|门[men2],個|个[ge4]; professional
赚	zhuan4	earn; make a profit
撞	zhuang4	to hit; to strike; to meet by accident; to run into; to bump against; to bump into
准备	zhun3 bei4	preparation; prepare
准确	zhun3 que4	accurate; exact; precise
准时	zhun3 shi2	on time; punctual; on schedule
桌子	zhuo1 zi5	table; desk; CL:張|张[zhang1],套[tao4]
仔细	zi3 xi4	careful; attentive; cautious
字	zi4	letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China
字典	zi4 dian3	dictionary; character dictionary; CL:本[ben3]
自己	zi4 ji3	self; (reflexive pronoun); own
自然	zi4 ran2	nature; natural; naturally
自行车	zi4 xing2 che1	bicycle; bike; CL:輛|辆[liang4]
总结	zong3 jie2	to sum up; to conclude; summary; resume; CL:個|个[ge4]
总是	zong3 shi4	always
走	zou3	to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走); to change (shape, form, meaning)
租	zu1	to hire; to rent; to charter; to rent out; to lease out; rent; land tax
组成	zu3 cheng2	component; part; element; constitute; make up
组织	zu3 zhi1	to organize; organization; organized system; nerve; tissue; CL:個|个[ge4]
嘴	zui3	mouth; beak; spout (of teapot etc); CL:張|张[zhang1],個|个[ge4]
最	zui4	most; the most; -est
最好	zui4 hao3	best; (you) had better (do what we suggest)
最后	zui4 hou4	final; last; finally; ultimate
最近	zui4 jin4	recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes)
尊重	zun1 zhong4	esteem; respect; to honor; to value sth
昨天	zuo2 tian1	yesterday
左边	zuo3 bian5	left; the left side; to the left of
坐	zuo4	to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; surname Zuo
做	zuo4	to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance
做生意	zuo4 sheng1 yi4	to do business
座	zuo4	seat; base; stand; CL:個|个[ge4]; classifier for buildings, mountains and similar immovable objects
座位	zuo4 wei4	seat; CL:個|个[ge4]
作业	zuo4 ye4	school assignment; homework; work; task; operation; to operate; CL:個|个[ge4]
作用	zuo4 yong4	to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; CL:個|个[ge4]
作者	zuo4 zhe3	author; writer; CL:個|个[ge4]
